------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.10.1 Firmware v1.2.0 date format M/d/yyyy Filter Normal -----------
Serial Number: MOS2A03140238
Start Time 11:15:00
Start Date 6/30/2014
Epoch Period (hh:mm:ss) 00:01:00
Download Time 14:39:16
Download Date 6/30/2014
Current Memory Address: 0
Current Battery Voltage: 4.2     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
6/30/2014,11:58:00,441,922,2062,43,0,0,60,0,0,2301.39
6/30/2014,11:59:00,738,1134,2023,71,0,0,60,0,0,2433.75
6/30/2014,12:00:00,485,728,1362,46,0,0,60,0,0,1618.72
6/30/2014,12:01:00,485,454,672,25,0,0,60,0,0,944.95
6/30/2014,12:02:00,433,1149,1142,12,0,0,60,0,0,1676.86
6/30/2014,12:03:00,312,1327,1148,9,0,0,49,11,0,1782.18
6/30/2014,12:04:00,240,2010,1958,36,0,0,46,14,0,2816.29
6/30/2014,12:05:00,186,1421,1558,27,0,0,51,9,0,2116.88
6/30/2014,12:06:00,159,1606,1552,16,0,0,59,1,0,2239.02
6/30/2014,12:07:00,719,1519,1814,24,0,0,60,0,0,2472.84
6/30/2014,12:08:00,1375,1913,1530,48,0,0,60,0,0,2809.11
6/30/2014,12:09:00,2361,2073,2325,68,0,0,60,0,0,3908.62
6/30/2014,12:10:00,2439,2242,2158,68,0,0,60,0,0,3953.76
6/30/2014,12:11:00,2738,1893,2278,68,0,0,60,0,0,4033.53
6/30/2014,12:12:00,2771,2073,1966,67,0,0,60,0,0,3980.07
6/30/2014,12:13:00,2570,2103,2209,57,0,0,60,0,0,3988.38
6/30/2014,12:14:00,4533,3179,3766,108,0,0,60,0,0,6696.04
6/30/2014,12:15:00,4628,2518,3763,111,0,0,60,0,0,6474.48
6/30/2014,12:16:00,4739,2569,3846,111,0,0,60,0,0,6621.9
6/30/2014,12:17:00,4672,2573,3987,117,0,0,60,0,0,6659.14
6/30/2014,12:18:00,3384,2250,3206,91,0,0,60,0,0,5176.14
6/30/2014,12:19:00,1528,1258,1926,63,0,0,60,0,0,2761.67
6/30/2014,12:20:00,1551,894,1481,54,0,0,60,0,0,2323.4
6/30/2014,12:21:00,881,1846,2415,18,0,0,60,0,0,3164.82
6/30/2014,12:22:00,722,1031,1488,14,0,0,60,0,0,1948.95
6/30/2014,12:23:00,959,1849,3145,16,0,0,60,0,0,3772.2
6/30/2014,12:24:00,551,1491,2016,14,0,0,60,0,0,2567.28
6/30/2014,12:25:00,839,2172,2659,26,0,0,60,0,0,3534.37
6/30/2014,12:26:00,2577,2101,2966,44,0,0,60,0,0,4455.59
6/30/2014,12:27:00,4167,2640,3138,22,0,0,60,0,0,5846.41
6/30/2014,12:28:00,5366,1668,3679,13,0,0,60,0,0,6716.49
6/30/2014,12:29:00,4768,1723,2514,9,0,0,60,0,0,5658.86
6/30/2014,12:30:00,3204,1127,1786,6,0,0,60,0,0,3837.39
6/30/2014,12:31:00,2996,2046,3086,22,0,0,60,0,0,4762.93
6/30/2014,12:32:00,3310,1455,2068,59,0,0,60,0,0,4165.3
6/30/2014,12:33:00,2272,1245,2358,90,0,0,60,0,0,3503.17
6/30/2014,12:34:00,4936,2869,3551,15,36,0,60,0,0,6723.46
6/30/2014,12:35:00,528,441,249,10,0,0,60,0,0,731.62
6/30/2014,12:36:00,1207,1069,455,17,50,0,60,0,0,1675.3
6/30/2014,12:37:00,629,1135,713,7,34,0,60,0,0,1480.62
6/30/2014,12:38:00,47,228,110,1,0,48,0,0,12,257.47
6/30/2014,12:39:00,1410,1080,1850,22,0,0,60,0,0,2564.57
6/30/2014,12:40:00,588,768,1109,7,0,0,60,0,0,1471.55
6/30/2014,12:41:00,102,307,581,8,0,0,60,0,0,664.99
6/30/2014,12:42:00,4,39,105,0,0,0,60,0,0,112.08
6/30/2014,12:43:00,0,4,27,0,0,0,60,0,0,27.29
6/30/2014,12:44:00,0,2,0,0,0,0,60,0,0,2
6/30/2014,12:45:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,12:46:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,12:47:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,12:48:00,137,191,423,8,0,0,58,2,0,483.92
6/30/2014,12:49:00,52,115,410,3,0,0,58,2,0,428.99
6/30/2014,12:50:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,12:51:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,12:52:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,12:53:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,12:54:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,12:55:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,12:56:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,12:57:00,0,29,43,0,0,0,60,0,0,51.87
6/30/2014,12:58:00,232,636,927,5,0,0,48,12,0,1147.89
6/30/2014,12:59:00,0,0,6,0,0,0,60,0,0,6
6/30/2014,13:00:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:01:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:02:00,0,0,16,0,0,0,60,0,0,16
6/30/2014,13:03:00,0,19,148,0,0,0,60,0,0,149.21
6/30/2014,13:04:00,0,0,2,0,0,0,60,0,0,2
6/30/2014,13:05:00,0,0,161,0,0,0,60,0,0,161
6/30/2014,13:06:00,0,0,33,0,0,0,59,1,0,33
6/30/2014,13:07:00,0,34,9,0,0,0,60,0,0,35.17
6/30/2014,13:08:00,0,0,3,0,0,0,60,0,0,3
6/30/2014,13:09:00,0,0,114,0,0,0,32,28,0,114
6/30/2014,13:10:00,0,25,106,0,0,0,10,50,0,108.91
6/30/2014,13:11:00,0,33,106,0,0,0,60,0,0,111.02
6/30/2014,13:12:00,0,22,82,0,0,0,34,26,0,84.9
6/30/2014,13:13:00,104,406,718,3,0,0,43,17,0,831.37
6/30/2014,13:14:00,0,0,2,0,0,0,60,0,0,2
6/30/2014,13:15:00,0,0,21,0,0,0,60,0,0,21
6/30/2014,13:16:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:17:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:18:00,0,63,145,0,0,0,26,34,0,158.09
6/30/2014,13:19:00,0,0,0,0,0,0,0,60,0,0
6/30/2014,13:20:00,0,0,0,0,0,0,0,60,0,0
6/30/2014,13:21:00,0,0,0,0,0,0,0,60,0,0
6/30/2014,13:22:00,0,0,0,0,0,0,0,60,0,0
6/30/2014,13:23:00,235,209,662,3,0,0,48,12,0,732.91
6/30/2014,13:24:00,27,0,128,1,0,0,58,2,0,130.82
6/30/2014,13:25:00,28,36,135,0,0,0,57,3,0,142.5
6/30/2014,13:26:00,0,0,4,0,0,0,60,0,0,4
6/30/2014,13:27:00,0,76,190,0,0,0,57,3,0,204.64
6/30/2014,13:28:00,0,53,32,0,0,0,60,0,0,61.91
6/30/2014,13:29:00,0,18,20,0,0,0,60,0,0,26.91
6/30/2014,13:30:00,7,103,312,1,0,0,58,2,0,328.64
6/30/2014,13:31:00,0,0,7,0,0,0,60,0,0,7
6/30/2014,13:32:00,0,28,80,0,0,0,60,0,0,84.76
6/30/2014,13:33:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:34:00,13,7,73,0,0,0,60,0,0,74.48
6/30/2014,13:35:00,0,53,89,0,0,0,59,1,0,103.59
6/30/2014,13:36:00,0,33,32,0,0,0,60,0,0,45.97
6/30/2014,13:37:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:38:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:39:00,14,141,186,0,0,0,58,2,0,233.82
6/30/2014,13:40:00,0,11,86,0,0,0,60,0,0,86.7
6/30/2014,13:41:00,6,0,60,0,0,0,13,47,0,60.3
6/30/2014,13:42:00,0,29,21,0,0,0,37,23,0,35.81
6/30/2014,13:43:00,0,0,5,0,0,0,60,0,0,5
6/30/2014,13:44:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:45:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:46:00,0,10,0,0,0,0,60,0,0,10
6/30/2014,13:47:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:48:00,6,129,87,1,0,0,59,1,0,155.71
6/30/2014,13:49:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:50:00,0,135,121,0,0,0,54,6,0,181.29
6/30/2014,13:51:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:52:00,0,24,0,0,0,0,60,0,0,24
6/30/2014,13:53:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:54:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:55:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:56:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:57:00,0,0,59,0,0,0,51,9,0,59
6/30/2014,13:58:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,13:59:00,2,166,189,0,0,0,60,0,0,251.56
6/30/2014,14:00:00,31,171,134,1,0,0,59,1,0,219.45
6/30/2014,14:01:00,0,0,53,0,0,0,59,1,0,53
6/30/2014,14:02:00,0,0,0,0,0,0,60,0,0,0
6/30/2014,14:03:00,1314,1428,1614,44,0,0,60,0,0,2524.04
6/30/2014,14:04:00,1960,1566,2764,60,0,0,60,0,0,3732.78
6/30/2014,14:05:00,1663,1172,1789,22,0,0,60,0,0,2709.18
6/30/2014,14:06:00,1408,1154,1812,60,0,0,60,0,0,2568.56
6/30/2014,14:07:00,1281,908,1560,53,0,0,60,0,0,2213.37
6/30/2014,14:08:00,0,27,93,0,0,0,58,2,0,96.84
6/30/2014,14:09:00,236,112,368,2,0,1,52,7,0,451.29
6/30/2014,14:10:00,106,2,83,0,200,60,0,0,0,134.64
6/30/2014,14:11:00,0,0,0,0,204,60,0,0,0,0
6/30/2014,14:12:00,0,0,0,0,205,60,0,0,0,0
6/30/2014,14:13:00,0,0,0,0,204,60,0,0,0,0
6/30/2014,14:14:00,0,0,0,0,202,60,0,0,0,0
6/30/2014,14:15:00,0,0,0,0,195,60,0,0,0,0
6/30/2014,14:16:00,0,0,0,0,193,60,0,0,0,0
6/30/2014,14:17:00,0,0,0,0,193,60,0,0,0,0
6/30/2014,14:18:00,0,0,0,0,196,60,0,0,0,0
6/30/2014,14:19:00,0,0,0,0,203,60,0,0,0,0
6/30/2014,14:20:00,0,0,0,0,205,60,0,0,0,0
6/30/2014,14:21:00,0,0,0,0,205,60,0,0,0,0
6/30/2014,14:22:00,0,0,0,0,206,60,0,0,0,0
6/30/2014,14:23:00,0,0,0,0,204,60,0,0,0,0
6/30/2014,14:24:00,0,0,0,0,203,60,0,0,0,0
6/30/2014,14:25:00,0,0,0,0,203,60,0,0,0,0
6/30/2014,14:26:00,0,0,0,0,203,60,0,0,0,0
6/30/2014,14:27:00,0,0,0,0,203,60,0,0,0,0
6/30/2014,14:28:00,0,0,0,0,203,60,0,0,0,0
6/30/2014,14:29:00,0,0,0,0,203,60,0,0,0,0
6/30/2014,14:30:00,0,0,0,0,203,60,0,0,0,0
6/30/2014,14:31:00,0,0,0,0,202,60,0,0,0,0
6/30/2014,14:32:00,0,0,0,0,202,60,0,0,0,0
6/30/2014,14:33:00,0,0,0,0,202,60,0,0,0,0
6/30/2014,14:34:00,0,0,0,0,206,60,0,0,0,0
6/30/2014,14:35:00,0,11,0,0,204,60,0,0,0,11
6/30/2014,14:36:00,0,0,0,0,184,60,0,0,0,0
6/30/2014,14:37:00,0,0,0,0,182,60,0,0,0,0
6/30/2014,14:38:00,1701,1712,1402,16,88,0,60,0,0,2791.05
